orig_image,mask_image
images\ch10_20221229163446_20221229173446_@080089.bmp,masks\ch10_20221229163446_20221229173446_@080089.bmp
images\ch10_20221229163446_20221229173446_@087682.bmp,masks\ch10_20221229163446_20221229173446_@087682.bmp
images\ch10_20221229163446_20221229173446_@088145.bmp,masks\ch10_20221229163446_20221229173446_@088145.bmp
images\ch10_20221229173446_20221229183446@009190.bmp,masks\ch10_20221229173446_20221229183446@009190.bmp
images\ch10_20221229173446_20221229183446@009352.bmp,masks\ch10_20221229173446_20221229183446@009352.bmp
images\ch10_20221229173446_20221229183446@009606.bmp,masks\ch10_20221229173446_20221229183446@009606.bmp
images\ch10_20221229173446_20221229183446@009885.bmp,masks\ch10_20221229173446_20221229183446@009885.bmp
images\ch10_20221229173446_20221229183446@010288.bmp,masks\ch10_20221229173446_20221229183446@010288.bmp
images\ch10_20221229173446_20221229183446@011261.bmp,masks\ch10_20221229173446_20221229183446@011261.bmp
images\ch10_20221229173446_20221229183446@013316.bmp,masks\ch10_20221229173446_20221229183446@013316.bmp
images\ch10_20221229173446_20221229183446@017884.bmp,masks\ch10_20221229173446_20221229183446@017884.bmp
images\ch10_20221229173446_20221229183446@018489.bmp,masks\ch10_20221229173446_20221229183446@018489.bmp
images\ch10_20230228192817_20230228202817@004728.bmp,masks\ch10_20230228192817_20230228202817@004728.bmp
images\ch10_20230228192817_20230228202817@005657.bmp,masks\ch10_20230228192817_20230228202817@005657.bmp
images\ch10_20230228192817_20230228202817@009259.bmp,masks\ch10_20230228192817_20230228202817@009259.bmp
images\ch10_20230228192817_20230228202817@021296.bmp,masks\ch10_20230228192817_20230228202817@021296.bmp
images\ch10_20230228192817_20230228202817@022314.bmp,masks\ch10_20230228192817_20230228202817@022314.bmp
images\ch10_20230228192817_20230228202817@022870.bmp,masks\ch10_20230228192817_20230228202817@022870.bmp
images\ch10_20230228192817_20230228202817@023797.bmp,masks\ch10_20230228192817_20230228202817@023797.bmp
images\ch10_20230228192817_20230228202817@023981.bmp,masks\ch10_20230228192817_20230228202817@023981.bmp
images\ch10_20230228192817_20230228202817@024907.bmp,masks\ch10_20230228192817_20230228202817@024907.bmp
images\ch10_20230228192817_20230228202817@030831.bmp,masks\ch10_20230228192817_20230228202817@030831.bmp
images\ch10_20230228192817_20230228202817@053795.bmp,masks\ch10_20230228192817_20230228202817@053795.bmp
images\ch10_20230228192817_20230228202817@056666.bmp,masks\ch10_20230228192817_20230228202817@056666.bmp
images\ch10_20230228192817_20230228202817@063332.bmp,masks\ch10_20230228192817_20230228202817@063332.bmp
images\ch10_20230309202847_20230309212847@001388.bmp,masks\ch10_20230309202847_20230309212847@001388.bmp
images\ch10_20230309202847_20230309212847@001771.bmp,masks\ch10_20230309202847_20230309212847@001771.bmp
images\ch10_20230309202847_20230309212847@005662.bmp,masks\ch10_20230309202847_20230309212847@005662.bmp
images\ch10_20230309202847_20230309212847@008055.bmp,masks\ch10_20230309202847_20230309212847@008055.bmp
images\ch10_20230309202847_20230309212847@010833.bmp,masks\ch10_20230309202847_20230309212847@010833.bmp
images\ch10_20230309202847_20230309212847@017174.bmp,masks\ch10_20230309202847_20230309212847@017174.bmp
images\ch10_20230523180211_20230523190211@000555.bmp,masks\ch10_20230523180211_20230523190211@000555.bmp
images\ch10_20230523180211_20230523190211@004258.bmp,masks\ch10_20230523180211_20230523190211@004258.bmp
images\ch10_20230523180211_20230523190211@007405.bmp,masks\ch10_20230523180211_20230523190211@007405.bmp
images\ch10_20230523180211_20230523190211@031472.bmp,masks\ch10_20230523180211_20230523190211@031472.bmp
images\ch10_20230523180211_20230523190211@057390.bmp,masks\ch10_20230523180211_20230523190211@057390.bmp
images\ch11_20221228193446_20221228203446@013148.bmp,masks\ch11_20221228193446_20221228203446@013148.bmp
images\ch11_20221228193446_20221228203446@013703.bmp,masks\ch11_20221228193446_20221228203446@013703.bmp
images\ch11_20221228193446_20221228203446@017065.bmp,masks\ch11_20221228193446_20221228203446@017065.bmp
images\ch11_20221228193446_20221228203446@021851.bmp,masks\ch11_20221228193446_20221228203446@021851.bmp
images\ch11_20221228193446_20221228203446@045740.bmp,masks\ch11_20221228193446_20221228203446@045740.bmp
images\ch11_20221228193446_20221228203446@059438.bmp,masks\ch11_20221228193446_20221228203446@059438.bmp
images\ch11_20221228193446_20221228203446@072591.bmp,masks\ch11_20221228193446_20221228203446@072591.bmp
images\ch11_20221228193446_20221228203446@081850.bmp,masks\ch11_20221228193446_20221228203446@081850.bmp
images\ch11_20221228193446_20221228203446@089443.bmp,masks\ch11_20221228193446_20221228203446@089443.bmp
images\ch11_20221228193446_20221228203446@116850.bmp,masks\ch11_20221228193446_20221228203446@116850.bmp
images\ch11_20221228193446_20221228203446@146665.bmp,masks\ch11_20221228193446_20221228203446@146665.bmp
images\ch11_20221228193446_20221228203446@166294.bmp,masks\ch11_20221228193446_20221228203446@166294.bmp
images\ch11_20221228193446_20221228203446@167591.bmp,masks\ch11_20221228193446_20221228203446@167591.bmp
images\ch11_20221228193446_20221228203446@167964.bmp,masks\ch11_20221228193446_20221228203446@167964.bmp
images\ch11_20221228193446_20221228203446@170183.bmp,masks\ch11_20221228193446_20221228203446@170183.bmp
images\ch11_20221229123446_20221229133446_@002962.bmp,masks\ch11_20221229123446_20221229133446_@002962.bmp
images\ch11_20221229123446_20221229133446_@003887.bmp,masks\ch11_20221229123446_20221229133446_@003887.bmp
images\ch11_20221229123446_20221229133446_@004443.bmp,masks\ch11_20221229123446_20221229133446_@004443.bmp
images\ch11_20221229123446_20221229133446_@005091.bmp,masks\ch11_20221229123446_20221229133446_@005091.bmp
images\ch11_20221229123446_20221229133446_@013144.bmp,masks\ch11_20221229123446_20221229133446_@013144.bmp
images\ch11_20221229123446_20221229133446_@018420.bmp,masks\ch11_20221229123446_20221229133446_@018420.bmp
images\ch11_20221229123446_20221229133446_@024344.bmp,masks\ch11_20221229123446_20221229133446_@024344.bmp
images\ch11_20221229123446_20221229133446_@047762.bmp,masks\ch11_20221229123446_20221229133446_@047762.bmp
images\ch11_20221229123446_20221229133446_@061740.bmp,masks\ch11_20221229123446_20221229133446_@061740.bmp
images\ch11_20221229123446_20221229133446_@061925.bmp,masks\ch11_20221229123446_20221229133446_@061925.bmp
images\ch11_20221229123446_20221229133446_@069607.bmp,masks\ch11_20221229123446_20221229133446_@069607.bmp
images\ch11_20221229123446_20221229133446_@085991.bmp,masks\ch11_20221229123446_20221229133446_@085991.bmp
images\ch11_20230228192817_20230228202817@000036.bmp,masks\ch11_20230228192817_20230228202817@000036.bmp
images\ch11_20230228192817_20230228202817@001018.bmp,masks\ch11_20230228192817_20230228202817@001018.bmp
images\ch11_20230228192817_20230228202817@005101.bmp,masks\ch11_20230228192817_20230228202817@005101.bmp
images\ch11_20230228192817_20230228202817@005925.bmp,masks\ch11_20230228192817_20230228202817@005925.bmp
images\ch11_20230228192817_20230228202817@006481.bmp,masks\ch11_20230228192817_20230228202817@006481.bmp
images\ch11_20230228192817_20230228202817@007036.bmp,masks\ch11_20230228192817_20230228202817@007036.bmp
images\ch11_20230228192817_20230228202817@007222.bmp,masks\ch11_20230228192817_20230228202817@007222.bmp
images\ch11_20230228192817_20230228202817@007594.bmp,masks\ch11_20230228192817_20230228202817@007594.bmp
images\ch11_20230228192817_20230228202817@007870.bmp,masks\ch11_20230228192817_20230228202817@007870.bmp
images\ch11_20230228192817_20230228202817@010276.bmp,masks\ch11_20230228192817_20230228202817@010276.bmp
images\ch11_20230228192817_20230228202817@010556.bmp,masks\ch11_20230228192817_20230228202817@010556.bmp
images\ch11_20230228192817_20230228202817@010737.bmp,masks\ch11_20230228192817_20230228202817@010737.bmp
images\ch11_20230228192817_20230228202817@011669.bmp,masks\ch11_20230228192817_20230228202817@011669.bmp
images\ch11_20230228192817_20230228202817@011944.bmp,masks\ch11_20230228192817_20230228202817@011944.bmp
images\ch11_20230228192817_20230228202817@012592.bmp,masks\ch11_20230228192817_20230228202817@012592.bmp
images\ch11_20230228192817_20230228202817@013240.bmp,masks\ch11_20230228192817_20230228202817@013240.bmp
images\ch11_20230228192817_20230228202817@014814.bmp,masks\ch11_20230228192817_20230228202817@014814.bmp
images\ch11_20230228192817_20230228202817@015097.bmp,masks\ch11_20230228192817_20230228202817@015097.bmp
images\ch11_20230228192817_20230228202817@019444.bmp,masks\ch11_20230228192817_20230228202817@019444.bmp
images\ch11_20230228192817_20230228202817@021944.bmp,masks\ch11_20230228192817_20230228202817@021944.bmp
images\ch11_20230228192817_20230228202817@024073.bmp,masks\ch11_20230228192817_20230228202817@024073.bmp
images\ch11_20230228192817_20230228202817@028700.bmp,masks\ch11_20230228192817_20230228202817@028700.bmp
images\ch11_20230228192817_20230228202817@029444.bmp,masks\ch11_20230228192817_20230228202817@029444.bmp
images\ch11_20230228192817_20230228202817@030831.bmp,masks\ch11_20230228192817_20230228202817@030831.bmp
images\ch11_20230228192817_20230228202817@033055.bmp,masks\ch11_20230228192817_20230228202817@033055.bmp
images\ch11_20230228192817_20230228202817@049823.bmp,masks\ch11_20230228192817_20230228202817@049823.bmp
images\ch11_20230309202847_20230309212847@001596.bmp,masks\ch11_20230309202847_20230309212847@001596.bmp
images\ch11_20230309202847_20230309212847@001790.bmp,masks\ch11_20230309202847_20230309212847@001790.bmp
images\ch11_20230309202847_20230309212847@003706.bmp,masks\ch11_20230309202847_20230309212847@003706.bmp
images\ch11_20230309202847_20230309212847@006294.bmp,masks\ch11_20230309202847_20230309212847@006294.bmp
images\ch11_20230309202847_20230309212847@007960.bmp,masks\ch11_20230309202847_20230309212847@007960.bmp
images\ch11_20230309202847_20230309212847@008516.bmp,masks\ch11_20230309202847_20230309212847@008516.bmp
images\ch11_20230309202847_20230309212847@010182.bmp,masks\ch11_20230309202847_20230309212847@010182.bmp
images\ch11_20230309202847_20230309212847@011386.bmp,masks\ch11_20230309202847_20230309212847@011386.bmp
images\ch11_20230309202847_20230309212847@013538.bmp,masks\ch11_20230309202847_20230309212847@013538.bmp
images\ch11_20230309202847_20230309212847@014092.bmp,masks\ch11_20230309202847_20230309212847@014092.bmp
images\ch11_20230309202847_20230309212847@016939.bmp,masks\ch11_20230309202847_20230309212847@016939.bmp
images\ch11_20230309202847_20230309212847@023881.bmp,masks\ch11_20230309202847_20230309212847@023881.bmp
images\ch11_20230309202847_20230309212847@030565.bmp,masks\ch11_20230309202847_20230309212847@030565.bmp
images\ch11_20230523180211_20230523190211@001203.bmp,masks\ch11_20230523180211_20230523190211@001203.bmp
images\ch11_20230523180211_20230523190211@005831.bmp,masks\ch11_20230523180211_20230523190211@005831.bmp
images\ch11_20230523180211_20230523190211@005924.bmp,masks\ch11_20230523180211_20230523190211@005924.bmp
images\ch11_20230523180211_20230523190211@051306.bmp,masks\ch11_20230523180211_20230523190211@051306.bmp
images\ch11_20230523180211_20230523190211@051375.bmp,masks\ch11_20230523180211_20230523190211@051375.bmp
images\ch11_20230523180211_20230523190211@051502.bmp,masks\ch11_20230523180211_20230523190211@051502.bmp
images\ch11_20230523180211_20230523190211@051913.bmp,masks\ch11_20230523180211_20230523190211@051913.bmp
images\ch11_20230523180211_20230523190211@052296.bmp,masks\ch11_20230523180211_20230523190211@052296.bmp
images\ch11_20230523180211_20230523190211@060075.bmp,masks\ch11_20230523180211_20230523190211@060075.bmp
images\ch11_20230523180211_20230523190211@064236.bmp,masks\ch11_20230523180211_20230523190211@064236.bmp
images\ch11_20230523180211_20230523190211@064355.bmp,masks\ch11_20230523180211_20230523190211@064355.bmp
images\ch11_20230523180211_20230523190211@064817.bmp,masks\ch11_20230523180211_20230523190211@064817.bmp
images\ch11_20230523180211_20230523190211@065224.bmp,masks\ch11_20230523180211_20230523190211@065224.bmp
images\ch11_20230523180211_20230523190211@065239.bmp,masks\ch11_20230523180211_20230523190211@065239.bmp
images\ch11_20230523180211_20230523190211@065311.bmp,masks\ch11_20230523180211_20230523190211@065311.bmp
images\ch11_20230523180211_20230523190211@065313.bmp,masks\ch11_20230523180211_20230523190211@065313.bmp
images\ch11_20230523180211_20230523190211@065430.bmp,masks\ch11_20230523180211_20230523190211@065430.bmp
images\ch11_20230523180211_20230523190211@065539.bmp,masks\ch11_20230523180211_20230523190211@065539.bmp
images\ch11_20230523180211_20230523190211@065843.bmp,masks\ch11_20230523180211_20230523190211@065843.bmp
images\ch11_20230523180211_20230523190211@065986.bmp,masks\ch11_20230523180211_20230523190211@065986.bmp
images\ch11_20230523180211_20230523190211@066283.bmp,masks\ch11_20230523180211_20230523190211@066283.bmp
images\ch11_20230523180211_20230523190211@066598.bmp,masks\ch11_20230523180211_20230523190211@066598.bmp
images\ch11_20230523180211_20230523190211@067017.bmp,masks\ch11_20230523180211_20230523190211@067017.bmp
images\ch11_20230523180211_20230523190211@072844.bmp,masks\ch11_20230523180211_20230523190211@072844.bmp
images\ch11_20230523180211_20230523190211@074886.bmp,masks\ch11_20230523180211_20230523190211@074886.bmp
images\ch11_20230523180211_20230523190211@076737.bmp,masks\ch11_20230523180211_20230523190211@076737.bmp
images\ch12_20221228193446_20221228203446@000740.bmp,masks\ch12_20221228193446_20221228203446@000740.bmp
images\ch12_20221228193446_20221228203446@004258.bmp,masks\ch12_20221228193446_20221228203446@004258.bmp
images\ch12_20221228193446_20221228203446@004998.bmp,masks\ch12_20221228193446_20221228203446@004998.bmp
images\ch12_20221228193446_20221228203446@005015.bmp,masks\ch12_20221228193446_20221228203446@005015.bmp
images\ch12_20221228193446_20221228203446@006353.bmp,masks\ch12_20221228193446_20221228203446@006353.bmp
images\ch12_20221228193446_20221228203446@007590.bmp,masks\ch12_20221228193446_20221228203446@007590.bmp
images\ch12_20221228193446_20221228203446@007960.bmp,masks\ch12_20221228193446_20221228203446@007960.bmp
images\ch12_20221228193446_20221228203446@010552.bmp,masks\ch12_20221228193446_20221228203446@010552.bmp
images\ch12_20221228193446_20221228203446@011848.bmp,masks\ch12_20221228193446_20221228203446@011848.bmp
images\ch12_20221228193446_20221228203446@012589.bmp,masks\ch12_20221228193446_20221228203446@012589.bmp
images\ch12_20221228193446_20221228203446@013902.bmp,masks\ch12_20221228193446_20221228203446@013902.bmp
images\ch12_20221228193446_20221228203446@016291.bmp,masks\ch12_20221228193446_20221228203446@016291.bmp
images\ch12_20221228193446_20221228203446@019809.bmp,masks\ch12_20221228193446_20221228203446@019809.bmp
images\ch12_20221228193446_20221228203446@024085.bmp,masks\ch12_20221228193446_20221228203446@024085.bmp
images\ch12_20221228193446_20221228203446@024252.bmp,masks\ch12_20221228193446_20221228203446@024252.bmp
images\ch12_20221228193446_20221228203446@024992.bmp,masks\ch12_20221228193446_20221228203446@024992.bmp
images\ch12_20221228193446_20221228203446@025733.bmp,masks\ch12_20221228193446_20221228203446@025733.bmp
images\ch12_20221228193446_20221228203446@027399.bmp,masks\ch12_20221228193446_20221228203446@027399.bmp
images\ch12_20221228193446_20221228203446@027955.bmp,masks\ch12_20221228193446_20221228203446@027955.bmp
images\ch12_20221228193446_20221228203446@028889.bmp,masks\ch12_20221228193446_20221228203446@028889.bmp
images\ch12_20221228193446_20221228203446@029992.bmp,masks\ch12_20221228193446_20221228203446@029992.bmp
images\ch12_20221228193446_20221228203446@032048.bmp,masks\ch12_20221228193446_20221228203446@032048.bmp
images\ch12_20221228193446_20221228203446@032398.bmp,masks\ch12_20221228193446_20221228203446@032398.bmp
images\ch12_20221228193446_20221228203446@035360.bmp,masks\ch12_20221228193446_20221228203446@035360.bmp
images\ch12_20221228193446_20221228203446@036100.bmp,masks\ch12_20221228193446_20221228203446@036100.bmp
images\ch12_20221228193446_20221228203446@037211.bmp,masks\ch12_20221228193446_20221228203446@037211.bmp
images\ch12_20221228193446_20221228203446@041654.bmp,masks\ch12_20221228193446_20221228203446@041654.bmp
images\ch12_20221228193446_20221228203446@047393.bmp,masks\ch12_20221228193446_20221228203446@047393.bmp
images\ch12_20221228193446_20221228203446@050264.bmp,masks\ch12_20221228193446_20221228203446@050264.bmp
images\ch12_20221228193446_20221228203446@053503.bmp,masks\ch12_20221228193446_20221228203446@053503.bmp
images\ch12_20221228193446_20221228203446@056835.bmp,masks\ch12_20221228193446_20221228203446@056835.bmp
images\ch12_20221228193446_20221228203446@059057.bmp,masks\ch12_20221228193446_20221228203446@059057.bmp
images\ch12_20221228193446_20221228203446@059983.bmp,masks\ch12_20221228193446_20221228203446@059983.bmp
images\ch12_20221228193446_20221228203446@060540.bmp,masks\ch12_20221228193446_20221228203446@060540.bmp
images\ch12_20221228193446_20221228203446@060908.bmp,masks\ch12_20221228193446_20221228203446@060908.bmp
images\ch12_20221228193446_20221228203446@061093.bmp,masks\ch12_20221228193446_20221228203446@061093.bmp
images\ch12_20221228193446_20221228203446@061448.bmp,masks\ch12_20221228193446_20221228203446@061448.bmp
images\ch12_20221228193446_20221228203446@062317.bmp,masks\ch12_20221228193446_20221228203446@062317.bmp
images\ch12_20221228193446_20221228203446@062759.bmp,masks\ch12_20221228193446_20221228203446@062759.bmp
images\ch12_20221228193446_20221228203446@064241.bmp,masks\ch12_20221228193446_20221228203446@064241.bmp
images\ch12_20221228193446_20221228203446@065351.bmp,masks\ch12_20221228193446_20221228203446@065351.bmp
images\ch12_20221228193446_20221228203446@067942.bmp,masks\ch12_20221228193446_20221228203446@067942.bmp
images\ch12_20221228193446_20221228203446@072201.bmp,masks\ch12_20221228193446_20221228203446@072201.bmp
images\ch12_20221228193446_20221228203446@073867.bmp,masks\ch12_20221228193446_20221228203446@073867.bmp
images\ch12_20221228193446_20221228203446@076616.bmp,masks\ch12_20221228193446_20221228203446@076616.bmp
images\ch12_20221228193446_20221228203446@080162.bmp,masks\ch12_20221228193446_20221228203446@080162.bmp
images\ch12_20221228193446_20221228203446@082939.bmp,masks\ch12_20221228193446_20221228203446@082939.bmp
images\ch12_20221228193446_20221228203446@084790.bmp,masks\ch12_20221228193446_20221228203446@084790.bmp
images\ch12_20221228193446_20221228203446@086086.bmp,masks\ch12_20221228193446_20221228203446@086086.bmp
images\ch12_20221228193446_20221228203446@089233.bmp,masks\ch12_20221228193446_20221228203446@089233.bmp
images\ch12_20221228193446_20221228203446@096083.bmp,masks\ch12_20221228193446_20221228203446@096083.bmp
images\ch12_20221228193446_20221228203446@117189.bmp,masks\ch12_20221228193446_20221228203446@117189.bmp
images\ch12_20221228193446_20221228203446@131613.bmp,masks\ch12_20221228193446_20221228203446@131613.bmp
images\ch12_20221228193446_20221228203446@134406.bmp,masks\ch12_20221228193446_20221228203446@134406.bmp
images\ch12_20221228213446_20221228223446_@005277.bmp,masks\ch12_20221228213446_20221228223446_@005277.bmp
images\ch12_20221228213446_20221228223446_@007777.bmp,masks\ch12_20221228213446_20221228223446_@007777.bmp
images\ch12_20221228213446_20221228223446_@016943.bmp,masks\ch12_20221228213446_20221228223446_@016943.bmp
images\ch12_20221228213446_20221228223446_@018795.bmp,masks\ch12_20221228213446_20221228223446_@018795.bmp
images\ch12_20221228213446_20221228223446_@021295.bmp,masks\ch12_20221228213446_20221228223446_@021295.bmp
images\ch12_20221228213446_20221228223446_@021665.bmp,masks\ch12_20221228213446_20221228223446_@021665.bmp
images\ch12_20221228213446_20221228223446_@022036.bmp,masks\ch12_20221228213446_20221228223446_@022036.bmp
images\ch12_20221228213446_20221228223446_@043702.bmp,masks\ch12_20221228213446_20221228223446_@043702.bmp
images\ch12_20221228213446_20221228223446_@046016.bmp,masks\ch12_20221228213446_20221228223446_@046016.bmp
images\ch12_20221228213446_20221228223446_@047961.bmp,masks\ch12_20221228213446_20221228223446_@047961.bmp
images\ch12_20221228213446_20221228223446_@048516.bmp,masks\ch12_20221228213446_20221228223446_@048516.bmp
images\ch12_20230523180211_20230523190211@000370.bmp,masks\ch12_20230523180211_20230523190211@000370.bmp
images\ch12_20230523180211_20230523190211@000648.bmp,masks\ch12_20230523180211_20230523190211@000648.bmp
images\ch12_20230523180211_20230523190211@001388.bmp,masks\ch12_20230523180211_20230523190211@001388.bmp
images\ch12_20230523180211_20230523190211@001666.bmp,masks\ch12_20230523180211_20230523190211@001666.bmp
images\ch12_20230523180211_20230523190211@003055.bmp,masks\ch12_20230523180211_20230523190211@003055.bmp
images\ch12_20230523180211_20230523190211@005740.bmp,masks\ch12_20230523180211_20230523190211@005740.bmp
images\ch12_20230523180211_20230523190211@006388.bmp,masks\ch12_20230523180211_20230523190211@006388.bmp
images\ch12_20230523180211_20230523190211@006759.bmp,masks\ch12_20230523180211_20230523190211@006759.bmp
images\ch12_20230523180211_20230523190211@006892.bmp,masks\ch12_20230523180211_20230523190211@006892.bmp
images\ch12_20230523180211_20230523190211@007036.bmp,masks\ch12_20230523180211_20230523190211@007036.bmp
images\ch12_20230523180211_20230523190211@007226.bmp,masks\ch12_20230523180211_20230523190211@007226.bmp
images\ch12_20230523180211_20230523190211@007699.bmp,masks\ch12_20230523180211_20230523190211@007699.bmp
images\ch12_20230523180211_20230523190211@008703.bmp,masks\ch12_20230523180211_20230523190211@008703.bmp
images\ch12_20230523180211_20230523190211@019073.bmp,masks\ch12_20230523180211_20230523190211@019073.bmp
images\ch12_20230523180211_20230523190211@019259.bmp,masks\ch12_20230523180211_20230523190211@019259.bmp
images\ch12_20230523180211_20230523190211@022303.bmp,masks\ch12_20230523180211_20230523190211@022303.bmp
images\ch12_20230523180211_20230523190211@022415.bmp,masks\ch12_20230523180211_20230523190211@022415.bmp
images\ch12_20230523180211_20230523190211@022508.bmp,masks\ch12_20230523180211_20230523190211@022508.bmp
images\ch12_20230523180211_20230523190211@024166.bmp,masks\ch12_20230523180211_20230523190211@024166.bmp
images\ch12_20230523180211_20230523190211@025462.bmp,masks\ch12_20230523180211_20230523190211@025462.bmp
images\ch12_20230523180211_20230523190211@028795.bmp,masks\ch12_20230523180211_20230523190211@028795.bmp
images\ch12_20230523180211_20230523190211@035184.bmp,masks\ch12_20230523180211_20230523190211@035184.bmp
images\ch12_20230523180211_20230523190211@044721.bmp,masks\ch12_20230523180211_20230523190211@044721.bmp
images\ch12_20230523180211_20230523190211@054155.bmp,masks\ch12_20230523180211_20230523190211@054155.bmp
images\ch12_20230523180211_20230523190211@056017.bmp,masks\ch12_20230523180211_20230523190211@056017.bmp
images\ch12_20230523180211_20230523190211@056273.bmp,masks\ch12_20230523180211_20230523190211@056273.bmp
images\ch12_20230523180211_20230523190211@057869.bmp,masks\ch12_20230523180211_20230523190211@057869.bmp
images\ch12_20230523180211_20230523190211@059816.bmp,masks\ch12_20230523180211_20230523190211@059816.bmp
images\ch12_20230523180211_20230523190211@060364.bmp,masks\ch12_20230523180211_20230523190211@060364.bmp
images\ch12_20230523180211_20230523190211@060740.bmp,masks\ch12_20230523180211_20230523190211@060740.bmp
images\ch13_20221228193446_20221228203446@003887.bmp,masks\ch13_20221228193446_20221228203446@003887.bmp
images\ch13_20221228193446_20221228203446@004443.bmp,masks\ch13_20221228193446_20221228203446@004443.bmp
images\ch13_20221228193446_20221228203446@009812.bmp,masks\ch13_20221228193446_20221228203446@009812.bmp
images\ch13_20221228193446_20221228203446@012033.bmp,masks\ch13_20221228193446_20221228203446@012033.bmp
images\ch13_20221228193446_20221228203446@019438.bmp,masks\ch13_20221228193446_20221228203446@019438.bmp
images\ch13_20221228193446_20221228203446@026103.bmp,masks\ch13_20221228193446_20221228203446@026103.bmp
images\ch13_20221228193446_20221228203446@028510.bmp,masks\ch13_20221228193446_20221228203446@028510.bmp
images\ch13_20221228193446_20221228203446@034990.bmp,masks\ch13_20221228193446_20221228203446@034990.bmp
images\ch13_20221228193446_20221228203446@038137.bmp,masks\ch13_20221228193446_20221228203446@038137.bmp
images\ch13_20221228193446_20221228203446@046838.bmp,masks\ch13_20221228193446_20221228203446@046838.bmp
images\ch13_20221228193446_20221228203446@052392.bmp,masks\ch13_20221228193446_20221228203446@052392.bmp
images\ch13_20221228193446_20221228203446@058687.bmp,masks\ch13_20221228193446_20221228203446@058687.bmp
images\ch13_20221228193446_20221228203446@059612.bmp,masks\ch13_20221228193446_20221228203446@059612.bmp
images\ch13_20221228193446_20221228203446@062945.bmp,masks\ch13_20221228193446_20221228203446@062945.bmp
images\ch13_20221228193446_20221228203446@074793.bmp,masks\ch13_20221228193446_20221228203446@074793.bmp
images\ch13_20221228193446_20221228203446@077385.bmp,masks\ch13_20221228193446_20221228203446@077385.bmp
images\ch13_20221228193446_20221228203446@079792.bmp,masks\ch13_20221228193446_20221228203446@079792.bmp
images\ch13_20221228193446_20221228203446@087938.bmp,masks\ch13_20221228193446_20221228203446@087938.bmp
images\ch13_20221228193446_20221228203446@089233.bmp,masks\ch13_20221228193446_20221228203446@089233.bmp
images\ch13_20221228193446_20221228203446@106451.bmp,masks\ch13_20221228193446_20221228203446@106451.bmp
images\ch13_20221229153446_20221229163446_@003796.bmp,masks\ch13_20221229153446_20221229163446_@003796.bmp
images\ch13_20221229153446_20221229163446_@035184.bmp,masks\ch13_20221229153446_20221229163446_@035184.bmp
